Hora/Tiempo,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7
9/7/2023 2:22,0,0,0,0,0,0,0
9/7/2023 3:01,0,0,0,0,0,0,0
9/7/2023 3:41,0,0,0,0,0,0,0
9/7/2023 4:22,0,0,0,0,0,0,0
9/7/2023 5:01,0,0,0,0,0,0,0
9/7/2023 5:41,0,0,0,0,0,0,0
9/7/2023 6:21,0,0,0,0,0,0,0
9/7/2023 7:01,0,0,0,0,0,0,0
9/7/2023 7:41,0,0,0,0,0,0,0
9/7/2023 8:21,0,0,0,0,0,0,0
9/7/2023 9:01,0,0,0,0,0,0,0
9/7/2023 9:42,0,0,0,0,0,0,0
9/7/2023 10:23,0,0,0,0,0,0,0
9/7/2023 11:01,0,0,0,0,0,0,0
9/7/2023 11:41,0,0,0,0,0,0,0
9/7/2023 12:21,0,0,0,0,0,0,0
9/7/2023 13:01,0,0,0,0,0,0,0
9/7/2023 13:41,0,0,0,0,0,0,0
9/7/2023 14:21,0,0,0,0,0,0,0
9/7/2023 15:01,0,0,0,0,0,0,0
9/7/2023 15:41,0,0,0,0,0,0,0
9/7/2023 16:21,"19 (pg61, 9)","36.1 (pg61, 6)","28.9 (pg61, 6)","18.8 (pg61, 27)","11.5 (pg61, 25)","19.3 (pg61, 17)","100 (pg61, 10)"
9/7/2023 17:01,"14.4 (pg61, 7)","35.8 (pg61, 29)","29.2 (pg61, 6)","20.1 (pg61, 27)","12.6 (pg61, 27)","14.3 (pg61, 4)","100 (pg61, 14)"
9/7/2023 17:41,0,0,0,0,0,0,0
9/7/2023 18:21,0,0,0,0,0,0,0
9/7/2023 19:01,0,0,0,0,0,0,0
9/7/2023 19:41,0,0,0,0,0,0,0
9/7/2023 20:21,0,0,0,0,0,0,0
9/7/2023 21:01,0,0,0,0,0,0,0
9/7/2023 21:42,0,0,0,0,0,0,0
9/7/2023 22:21,0,0,0,0,0,0,0
9/7/2023 23:04,0,0,0,0,0,0,0
9/7/2023 23:44,0,0,0,0,0,0,0
9/9/2023 0:15,"100 (pg41, 36)","94.9 (pg71, 27)","74 (pg90, 8)","39.9 (pg41, 45)","45.5 (pg71, 37)","62.2 (pg41, 21)","100 (pg41, 9)"
9/9/2023 0:55,"100 (pg41, 39)","94.3 (pg71, 27)","73.6 (pg90, 8)","40.2 (pg41, 45)","45.4 (pg71, 37)","58.4 (pg41, 21)","100 (pg71, 10)"
9/9/2023 1:35,"100 (pg41, 40)","95 (pg71, 27)","73.7 (pg90, 8)","40.6 (pg41, 45)","45.4 (pg71, 37)","57.3 (pg71, 21)","100 (pg31, 7)"
9/9/2023 2:16,"100 (pg41, 40)","95 (pg71, 27)","74.4 (pg90, 8)","40.3 (pg41, 45)","44.6 (pg71, 37)","57.7 (pg41, 21)","100 (pg41, 9)"
9/9/2023 2:56,"100 (pg41, 39)","96.6 (pg71, 27)","73.4 (pg90, 8)","40.1 (pg41, 45)","44.5 (pg71, 37)","57.4 (pg41, 21)","100 (pg71, 10)"
9/9/2023 3:36,"100 (pg41, 39)","95.8 (pg71, 27)","73.2 (pg90, 8)","40.1 (pg41, 45)","44.7 (pg71, 37)","56.9 (pg41, 21)","100 (pg71, 10)"
9/9/2023 4:15,"1.3 (pg31, 32)","7.2 (pg31, 32)","19.4 (pg31, 32)","2.2 (pg31, 32)","1.4 (pg31, 32)","1.4 (pg31, 32)","1 (pg31, 32)"
9/9/2023 4:55,"100 (pg90, 27)","95.6 (pg71, 27)","73.7 (pg90, 8)","39.4 (pg41, 45)","44.8 (pg71, 37)","61.2 (pg71, 21)","100 (pg71, 10)"
9/9/2023 5:35,"100 (pg41, 36)","95.1 (pg71, 27)","74.2 (pg90, 8)","39.7 (pg41, 45)","44.8 (pg71, 37)","57.5 (pg41, 21)","100 (pg71, 10)"
9/9/2023 6:16,"100 (pg41, 36)","95.7 (pg71, 27)","73.9 (pg90, 8)","40 (pg41, 45)","44.8 (pg71, 37)","57.3 (pg71, 21)","100 (pg71, 10)"
9/9/2023 6:55,"100 (pg41, 40)","95.7 (pg71, 27)","74.1 (pg90, 8)","40 (pg41, 45)","44.9 (pg71, 37)","58.4 (pg41, 21)","100 (pg71, 10)"
9/9/2023 7:35,"100 (pg90, 27)","96.2 (pg71, 27)","74.1 (pg90, 8)","33 (pg71, 30)","44.8 (pg71, 37)","55.6 (pg71, 21)","100 (pg31, 7)"
9/9/2023 8:15,"1.2 (pg31, 32)","7.2 (pg31, 32)","19.5 (pg31, 32)","2.7 (pg31, 32)","1.3 (pg31, 32)","1.6 (pg31, 32)","0.9 (pg31, 32)"
9/9/2023 8:55,0,0,0,0,0,0,0
9/9/2023 9:35,"1.4 (pg31, 32)","6.7 (pg31, 32)","18.8 (pg31, 32)","1.5 (pg31, 32)","0.3 (pg31, 32)","0.4 (pg31, 32)","0.8 (pg31, 32)"
9/9/2023 10:15,"76.6 (pg51, 11)","69 (pg51, 16)","88.1 (pg51, 11)","46.7 (pg51, 16)","35.8 (pg51, 16)","64.9 (pg51, 12)","100 (pg51, 8)"
9/9/2023 10:55,"100 (pg90, 27)","59 (pg61, 40)","71.2 (pg90, 8)","28 (pg61, 18)","64.9 (pg61, 43)","61 (pg61, 41)","100 (pg61, 8)"
9/9/2023 11:35,"1.7 (pg90, 30)","5.9 (pg90, 30)","18.9 (pg90, 30)","1.3 (pg90, 30)","1.3 (pg90, 30)","1.8 (pg90, 30)","0.9 (pg90, 30)"
9/9/2023 12:15,"1 (pg90, 30)","6.2 (pg90, 30)","18.9 (pg90, 30)","0.6 (pg90, 30)","0.4 (pg90, 30)","0.2 (pg90, 30)","0.9 (pg90, 30)"
9/9/2023 12:55,"61.7 (pg61, 18)","58.7 (pg61, 40)","60.1 (pg61, 11)","28.1 (pg61, 18)","65.4 (pg61, 43)","62.3 (pg61, 41)","100 (pg61, 8)"
9/9/2023 13:35,0,0,0,0,0,0,0
9/9/2023 14:15,0,0,0,0,0,0,0
9/9/2023 14:56,0,0,0,0,0,0,0
9/9/2023 15:35,"62 (pg61, 18)","59.8 (pg61, 40)","60.7 (pg61, 11)","29 (pg61, 18)","65.4 (pg61, 43)","63.1 (pg61, 41)","100 (pg61, 8)"
9/9/2023 16:16,"0.3 (pg61, 44)","6 (pg61, 44)","18.9 (pg61, 44)","0.8 (pg61, 44)","0.3 (pg61, 44)","0.4 (pg61, 44)","0.9 (pg61, 44)"
9/9/2023 16:55,"0.5 (pg61, 44)","6.3 (pg61, 44)","19.5 (pg61, 44)","0.7 (pg61, 44)","0.3 (pg61, 44)","0.4 (pg61, 44)","0.9 (pg61, 44)"
9/9/2023 17:36,"62.2 (pg61, 18)","59.9 (pg61, 40)","62 (pg61, 11)","29 (pg61, 18)","65.5 (pg61, 43)","63.5 (pg61, 41)","100 (pg61, 8)"
9/9/2023 18:15,0,0,0,0,0,0,0
9/9/2023 18:55,0,0,0,0,0,0,0
9/9/2023 19:35,0,0,0,0,0,0,0
9/9/2023 20:15,0,0,0,0,0,0,0
9/9/2023 20:55,0,0,0,0,0,0,0
9/9/2023 21:35,0,0,0,0,0,0,0
9/9/2023 22:15,0,0,0,0,0,0,0
9/9/2023 22:55,0,0,0,0,0,0,0
9/9/2023 23:35,0,0,0,0,0,0,0
9/10/2023 0:16,0,0,0,0,0,0,0
9/10/2023 0:56,0,0,0,0,0,0,0
9/10/2023 1:36,0,0,0,0,0,0,0
